Host,Protocol,Local Address,Port,State
localhost,tcp,10.217.86.50,2380,LISTEN
localhost,tcp,10.217.86.50,4001,LISTEN
localhost,tcp,10.217.86.50,5443,LISTEN
localhost,tcp,10.217.86.50,65002,LISTEN
localhost,tcp,10.217.86.50,8082,LISTEN
localhost,tcp,10.217.86.51,10250,LISTEN
localhost,tcp,10.217.86.51,10256,LISTEN
localhost,tcp,10.217.86.51,20022,LISTEN
localhost,tcp,10.217.86.51,22,LISTEN
localhost,tcp,10.217.86.51,2380,LISTEN
localhost,tcp,10.217.86.51,4001,LISTEN
localhost,tcp,10.217.86.51,65002,LISTEN
localhost,tcp,10.217.86.52,20202,LISTEN
localhost,tcp,10.217.86.52,22,LISTEN
localhost,tcp,10.217.86.52,5001,LISTEN
localhost,tcp,10.217.86.52,6443,LISTEN
localhost,tcp,10.217.86.61,10250,LISTEN
localhost,tcp,10.217.86.61,10256,LISTEN
localhost,tcp,10.217.86.61,14311,LISTEN
localhost,tcp,10.217.86.61,14314,LISTEN
localhost,tcp,10.217.86.61,14316,LISTEN
localhost,tcp,10.217.86.61,14317,LISTEN
localhost,tcp,10.217.86.61,17001,LISTEN
localhost,tcp,10.217.86.61,17002,LISTEN
localhost,tcp,10.217.86.61,17004,LISTEN
localhost,tcp,10.217.86.61,17005,LISTEN
localhost,tcp,10.217.86.61,17006,LISTEN
localhost,tcp,10.217.86.61,20022,LISTEN
localhost,tcp,10.217.86.61,22,LISTEN
localhost,tcp,10.217.86.61,4444,LISTEN
localhost,tcp,10.217.86.61,4543,LISTEN
localhost,tcp,10.217.86.61,4643,LISTEN
localhost,tcp,10.217.86.61,4743,LISTEN
localhost,tcp,10.217.86.61,5447,LISTEN
localhost,tcp,10.217.86.61,5448,LISTEN
localhost,tcp,10.217.86.61,5449,LISTEN
localhost,tcp,10.217.86.61,65002,LISTEN
localhost,tcp,10.217.86.61,65202,LISTEN
localhost,tcp,10.217.86.62,10250,LISTEN
localhost,tcp,10.217.86.62,10256,LISTEN
localhost,tcp,10.217.86.62,14311,LISTEN
localhost,tcp,10.217.86.62,14314,LISTEN
localhost,tcp,10.217.86.62,14316,LISTEN
localhost,tcp,10.217.86.62,14317,LISTEN
localhost,tcp,10.217.86.62,17001,LISTEN
localhost,tcp,10.217.86.62,17004,LISTEN
localhost,tcp,10.217.86.62,17005,LISTEN
localhost,tcp,10.217.86.62,17006,LISTEN
localhost,tcp,10.217.86.62,17007,LISTEN
localhost,tcp,10.217.86.62,20022,LISTEN
localhost,tcp,10.217.86.62,4543,LISTEN
localhost,tcp,10.217.86.62,4643,LISTEN
localhost,tcp,10.217.86.62,5448,LISTEN
localhost,tcp,10.217.86.62,5449,LISTEN
localhost,tcp,10.217.86.62,65002,LISTEN
localhost,tcp,10.217.86.62,65202,LISTEN
localhost,tcp,10.217.86.64,10250,LISTEN
localhost,tcp,10.217.86.64,10256,LISTEN
localhost,tcp,10.217.86.64,14311,LISTEN
localhost,tcp,10.217.86.64,14314,LISTEN
localhost,tcp,10.217.86.64,14316,LISTEN
localhost,tcp,10.217.86.64,14317,LISTEN
localhost,tcp,10.217.86.64,20022,LISTEN
localhost,tcp,10.217.86.64,65002,LISTEN
localhost,tcp,10.217.86.64,65202,LISTEN
localhost,tcp,10.217.86.64,8445,LISTEN
localhost,tcp,10.217.86.64,8446,LISTEN
localhost,tcp,10.217.86.64,8447,LISTEN
localhost,tcp,10.217.86.65,10250,LISTEN
localhost,tcp,10.217.86.65,10256,LISTEN
localhost,tcp,10.217.86.65,14311,LISTEN
localhost,tcp,10.217.86.65,14314,LISTEN
localhost,tcp,10.217.86.65,14316,LISTEN
localhost,tcp,10.217.86.65,20022,LISTEN
localhost,tcp,10.217.86.65,65002,LISTEN
localhost,tcp,10.217.86.65,65202,LISTEN
localhost,tcp,10.217.86.65,8445,LISTEN
localhost,tcp,10.217.86.65,8446,LISTEN
localhost,tcp,10.217.86.65,8447,LISTEN
localhost,tcp,10.217.86.66,10250,LISTEN
localhost,tcp,10.217.86.66,10256,LISTEN
localhost,tcp,10.217.86.66,14311,LISTEN
localhost,tcp,10.217.86.66,14314,LISTEN
localhost,tcp,10.217.86.66,14316,LISTEN
localhost,tcp,10.217.86.66,14317,LISTEN
localhost,tcp,10.217.86.66,20022,LISTEN
localhost,tcp,10.217.86.66,65002,LISTEN
localhost,tcp,10.217.86.66,65202,LISTEN
localhost,tcp,10.217.86.67,10250,LISTEN
localhost,tcp,10.217.86.67,10256,LISTEN
localhost,tcp,10.217.86.67,14311,LISTEN
localhost,tcp,10.217.86.67,14314,LISTEN
localhost,tcp,10.217.86.67,14316,LISTEN
localhost,tcp,10.217.86.67,14317,LISTEN
localhost,tcp,10.217.86.67,20022,LISTEN
localhost,tcp,10.217.86.67,65002,LISTEN
localhost,tcp,10.217.86.67,65202,LISTEN
localhost,tcp,10.217.86.68,10250,LISTEN
localhost,tcp,10.217.86.68,10256,LISTEN
localhost,tcp,10.217.86.68,14311,LISTEN
localhost,tcp,10.217.86.68,14314,LISTEN
localhost,tcp,10.217.86.68,14316,LISTEN
localhost,tcp,10.217.86.68,20022,LISTEN
localhost,tcp,10.217.86.68,22,LISTEN
localhost,tcp,10.217.86.68,65002,LISTEN
localhost,tcp,10.217.86.68,65202,LISTEN
localhost,tcp,10.217.86.69,10250,LISTEN
localhost,tcp,10.217.86.69,10256,LISTEN
localhost,tcp,10.217.86.69,14311,LISTEN
localhost,tcp,10.217.86.69,14314,LISTEN
localhost,tcp,10.217.86.69,14316,LISTEN
localhost,tcp,10.217.86.69,14317,LISTEN
localhost,tcp,10.217.86.69,20022,LISTEN
localhost,tcp,10.217.86.69,65002,LISTEN
localhost,tcp,10.217.86.69,65202,LISTEN
localhost,tcp,10.217.86.70,10250,LISTEN
localhost,tcp,10.217.86.70,10256,LISTEN
localhost,tcp,10.217.86.70,14311,LISTEN
localhost,tcp,10.217.86.70,14314,LISTEN
localhost,tcp,10.217.86.70,14316,LISTEN
localhost,tcp,10.217.86.70,14317,LISTEN
localhost,tcp,10.217.86.70,20022,LISTEN
localhost,tcp,10.217.86.70,22852,LISTEN
localhost,tcp,10.217.86.70,65002,LISTEN
localhost,tcp,10.217.86.70,65202,LISTEN
localhost,tcp,10.217.86.71,10250,LISTEN
localhost,tcp,10.217.86.71,10256,LISTEN
localhost,tcp,10.217.86.71,14311,LISTEN
localhost,tcp,10.217.86.71,14314,LISTEN
localhost,tcp,10.217.86.71,14316,LISTEN
localhost,tcp,10.217.86.71,14317,LISTEN
localhost,tcp,10.217.86.71,20022,LISTEN
localhost,tcp,10.217.86.71,65002,LISTEN
localhost,tcp,10.217.86.71,65202,LISTEN
localhost,tcp,10.217.86.72,10250,LISTEN
localhost,tcp,10.217.86.72,10256,LISTEN
localhost,tcp,10.217.86.72,14311,LISTEN
localhost,tcp,10.217.86.72,14314,LISTEN
localhost,tcp,10.217.86.72,14316,LISTEN
localhost,tcp,10.217.86.72,14317,LISTEN
localhost,tcp,10.217.86.72,20022,LISTEN
localhost,tcp,10.217.86.72,65002,LISTEN
localhost,tcp,10.217.86.72,65202,LISTEN
localhost,tcp,10.217.86.73,10250,LISTEN
localhost,tcp,10.217.86.73,10256,LISTEN
localhost,tcp,10.217.86.73,14311,LISTEN
localhost,tcp,10.217.86.73,14314,LISTEN
localhost,tcp,10.217.86.73,14316,LISTEN
localhost,tcp,10.217.86.73,14317,LISTEN
localhost,tcp,10.217.86.73,20022,LISTEN
localhost,tcp,10.217.86.73,65002,LISTEN
localhost,tcp,10.217.86.73,65202,LISTEN
localhost,tcp,10.217.86.74,10250,LISTEN
localhost,tcp,10.217.86.74,10256,LISTEN
localhost,tcp,10.217.86.74,14311,LISTEN
localhost,tcp,10.217.86.74,14316,LISTEN
localhost,tcp,10.217.86.74,14317,LISTEN
localhost,tcp,10.217.86.74,20022,LISTEN
localhost,tcp,10.217.86.74,65002,LISTEN
localhost,tcp,10.217.86.74,65202,LISTEN
localhost,tcp,10.217.86.75,10250,LISTEN
localhost,tcp,10.217.86.75,10256,LISTEN
localhost,tcp,10.217.86.75,14311,LISTEN
localhost,tcp,10.217.86.75,14314,LISTEN
localhost,tcp,10.217.86.75,14316,LISTEN
localhost,tcp,10.217.86.75,14317,LISTEN
localhost,tcp,10.217.86.75,20022,LISTEN
localhost,tcp,10.217.86.75,65002,LISTEN
localhost,tcp,10.217.86.75,65202,LISTEN
localhost,tcp,10.217.86.76,10250,LISTEN
localhost,tcp,10.217.86.76,10256,LISTEN
localhost,tcp,10.217.86.76,14311,LISTEN
localhost,tcp,10.217.86.76,14314,LISTEN
localhost,tcp,10.217.86.76,14316,LISTEN
localhost,tcp,10.217.86.76,14317,LISTEN
localhost,tcp,10.217.86.76,20022,LISTEN
localhost,tcp,10.217.86.76,65002,LISTEN
localhost,tcp,10.217.86.76,65202,LISTEN
localhost,tcp,10.217.86.77,10250,LISTEN
localhost,tcp,10.217.86.77,10256,LISTEN
localhost,tcp,10.217.86.77,14311,LISTEN
localhost,tcp,10.217.86.77,14314,LISTEN
localhost,tcp,10.217.86.77,14316,LISTEN
localhost,tcp,10.217.86.77,14317,LISTEN
localhost,tcp,10.217.86.77,20022,LISTEN
localhost,tcp,10.217.86.77,65002,LISTEN
localhost,tcp,10.217.86.77,65202,LISTEN
